protein1 protein2 experimental database textmining combined_score
511145.b0036 511145.b3210 555 0 133 597
511145.b0036 511145.b2224 269 152 68 371
511145.b0036 511145.b3313 423 0 0 422
511145.b0036 511145.b2067 261 0 0 261
511145.b0036 511145.b1773 188 0 0 188
511145.b0036 511145.b2255 242 0 0 241
511145.b0036 511145.b3309 214 0 0 214
511145.b0036 511145.b3908 283 0 44 285
511145.b0036 511145.b2370 555 0 135 598
511145.b0036 511145.b1882 246 0 0 245
511145.b0036 511145.b3308 284 0 0 284
511145.b0036 511145.b2542 186 0 66 207
511145.b0036 511145.b2556 215 0 0 215
511145.b0036 511145.b1285 261 0 67 281
511145.b0036 511145.b3137 188 0 0 188
511145.b0036 511145.b0993 555 0 67 567
511145.b0036 511145.b2096 188 0 0 188
511145.b0036 511145.b3404 215 0 0 215
511145.b0036 511145.b3807 243 0 0 242
511145.b0036 511145.b3986 243 0 0 242
511145.b0036 511145.b1609 215 0 0 215
511145.b0036 511145.b1276 515 0 0 515
511145.b0036 511145.b3878 214 0 0 214
511145.b0036 511145.b3305 446 0 0 446
511145.b0036 511145.b3231 458 0 0 457
511145.b0036 511145.b1559 256 0 0 256
511145.b0036 511145.b3320 458 0 0 457
511145.b0036 511145.b4399 215 0 65 234
511145.b0036 511145.b1489 261 0 0 261
511145.b0036 511145.b1397 269 152 68 371
511145.b0036 511145.b4187 129 0 84 168
511145.b0036 511145.b3310 446 0 0 446
511145.b0036 511145.b3321 416 0 0 416
511145.b0036 511145.b0221 129 0 84 168
511145.b0036 511145.b1716 330 0 0 330
511145.b0036 511145.b0868 242 0 0 241
511145.b0036 511145.b3306 454 0 0 454
511145.b0036 511145.b1386 251 0 0 250
511145.b0036 511145.b2185 157 0 0 156
511145.b0036 511145.b3298 452 0 0 452
511145.b0036 511145.b2218 555 0 67 567
511145.b0036 511145.b1089 387 0 0 386
511145.b0036 511145.b4200 456 0 0 456
511145.b0036 511145.b2609 459 0 0 459
511145.b0036 511145.b3911 215 0 0 215
511145.b0036 511145.b0771 270 0 0 270
511145.b0036 511145.b2925 188 0 0 188
511145.b0036 511145.b3186 367 0 0 367
511145.b0036 511145.b3297 405 0 0 405
